 ,pli2_10_1000_1000_4_0.2_1.0-0.out ,1 ,0.01 ,2398.0 ,2398.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_1.0-1.out ,1 ,0.01 ,2398.0 ,2398.0 ,0.0000% ,
 ,pli2_10_1000_1000_4_0.2_1.0-2.out ,1 ,0.01 ,2398.0 ,2398.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.1-0.out ,1 ,0.01 ,1340.0 ,1340.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.1-1.out ,1 ,0.01 ,1340.0 ,1340.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.1-2.out ,1 ,0.01 ,1340.0 ,1340.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.25-0.out ,1 ,0.01 ,1690.0 ,1690.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.25-1.out ,1 ,0.01 ,1690.0 ,1690.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.25-2.out ,1 ,0.01 ,1690.0 ,1690.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.5-0.out ,1 ,0.01 ,1899.0 ,1899.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.5-1.out ,1 ,0.01 ,1899.0 ,1899.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_0.5-2.out ,1 ,0.01 ,1899.0 ,1899.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_1.0-0.out ,1 ,0.01 ,2177.0 ,2177.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_1.0-1.out ,1 ,0.00 ,2177.0 ,2177.0 ,0.0000% ,
 ,pli2_10_1000_1000_5_0.2_1.0-2.out ,1 ,0.00 ,2177.0 ,2177.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.1-0.out ,1665 ,0.59 ,2240.0 ,2240.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.1-1.out ,649 ,0.42 ,2240.0 ,2240.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.1-2.out ,640 ,0.41 ,2240.0 ,2240.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.25-0.out ,4740 ,1.91 ,3491.0 ,3491.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.25-1.out ,3411 ,1.64 ,3491.0 ,3491.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.25-2.out ,3587 ,1.99 ,3491.0 ,3491.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.5-0.out ,1543 ,0.73 ,4230.0 ,4230.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.5-1.out ,1692 ,0.52 ,4230.0 ,4230.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_0.5-2.out ,587 ,0.28 ,4230.0 ,4230.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_1.0-0.out ,814 ,0.43 ,4571.0 ,4571.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_1.0-1.out ,336 ,0.15 ,4571.0 ,4571.0 ,0.0000% ,
 ,pli2_30_1000_1000_1_0.2_1.0-2.out ,487 ,0.19 ,4571.0 ,4571.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.1-0.out ,16657 ,6.22 ,2289.0 ,2289.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.1-1.out ,13185 ,16.05 ,2289.0 ,2289.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.1-2.out ,10548 ,11.82 ,2289.0 ,2289.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.25-0.out ,11109 ,5.98 ,3116.0 ,3116.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.25-1.out ,10204 ,11.36 ,3116.0 ,3116.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.25-2.out ,9031 ,4.99 ,3116.0 ,3116.0 ,0.0000% ,
 ,pli2_30_1000_1000_2_0.2_0.5-0.out ,417 ,0.70 ,3886.0 ,3886.0 ,0.0000% ,
